date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2005-10-01,34584,16876,34885,65037,44442,95464,14795,94080,18983,22006,4979,4293,2502,4395,4240,3439,3988,5912,3636,5423,729,272,278,12,25,78,70
2005-10-02,50058,74231,21941,86583,82939,39013,37092,88395,17282,99157,8981,1328,202,3305,5478,7814,5570,5896,3661,7253,331,13,553,24,46,30,75
2005-10-03,46814,89075,77419,59801,73967,18578,26727,52018,62059,15532,79,6307,2985,1948,2473,8019,2770,1154,1644,9550,43,194,981,9,26,29,18
2005-10-04,32563,73220,64773,39975,74570,70277,90211,94402,83978,54761,3742,3501,5132,9443,4454,7639,5388,306,8466,5297,315,71,932,24,73,35,84
2005-10-05,9852,31458,83784,55533,1812,49603,87816,4178,9624,29487,1071,9427,9811,5866,6847,5136,2585,8724,9812,8089,851,674,705,15,41,51,0
2005-10-06,35371,82586,21184,78704,37483,60299,34262,55601,67599,89225,7398,8204,1724,3731,1484,1006,1925,7841,4114,5238,167,661,532,75,57,41,53
2005-10-07,95380,26915,68381,11260,42072,21854,24410,44870,51799,19658,7017,888,1400,5021,7656,2637,1537,7332,2877,9662,143,818,753,16,28,13,55
2005-10-08,45626,29038,70599,83207,48854,96137,55276,91021,8776,7577,6269,8385,3326,2957,3086,6165,5270,2435,6009,7586,467,687,776,7,24,40,43
2005-10-09,12393,10428,5717,97135,56893,33270,11561,42941,6390,99782,2217,8738,8223,9814,811,477,7511,4915,4850,2921,758,415,177,45,22,19,43
2005-10-10,75293,14040,87965,58695,28836,18604,86567,56619,59477,95278,9242,5538,5059,7487,1934,3703,9371,4644,6259,5044,996,860,657,30,96,75,27
2005-10-11,966,48867,98449,99006,44057,88446,76570,74704,17484,61834,4203,3043,8016,1205,9359,540,5380,8795,1293,9938,29,54,664,52,46,21,54
2005-10-12,18862,4737,91731,82807,1945,41294,28980,57082,37134,93331,4125,3380,9634,421,6223,6157,9568,1717,4529,8755,349,697,926,99,11,42,36
2005-10-13,38426,72406,77031,21556,32775,48748,58692,5651,46252,45548,2935,2266,8284,7630,5603,4573,4496,4722,833,10,655,505,993,94,58,49,30
2005-10-14,78896,34021,22126,69940,14088,45444,24165,56106,34010,72953,9617,2605,6034,1888,5366,700,2860,4614,4582,981,923,131,340,91,42,65,77
2005-10-15,58920,23576,69487,34685,51293,97643,90227,13018,72120,4937,1518,1118,1984,3889,8598,9217,4604,4087,4800,959,727,664,667,91,20,68,66
2005-10-16,31335,24376,37196,83194,13332,76289,58543,58309,13603,47790,3504,2841,6536,392,3822,3057,2155,910,1812,6048,144,445,652,50,22,27,55
2005-10-17,49408,64892,50493,21469,57489,15173,21654,67431,77840,77719,2540,5938,1568,1489,1192,6496,8709,3730,6642,7388,892,543,739,64,13,36,39
2005-10-18,99663,57190,24557,74051,64774,36188,10048,24728,11335,57892,9508,1193,8155,1167,5923,3906,1131,8792,6586,9031,232,883,507,95,10,67,28
2005-10-19,86332,68982,25653,51472,33878,51049,42318,61269,3504,17806,1493,9186,3564,2136,9591,8303,4469,1968,805,4806,686,752,509,29,61,39,58
2005-10-20,4269,25576,70124,46617,97102,38687,44765,61566,77655,80881,8749,9014,7417,4477,770,186,5661,5529,4785,8899,159,651,343,62,72,52,67
