date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2025-03-18,48130,66421,73844,41421,62423,46621,17961,19630,55272,97320,9526,7565,2651,1660,9130,1718,4336,9548,9052,7386,119,731,059,63,26,78,06
2025-03-19,82163,74989,42963,17526,26760,70054,89995,40054,12754,20349,8890,5706,2356,2204,2350,6801,9645,7607,1835,3540,100,086,344,17,13,40,60
2025-03-20,44025,37697,15242,79057,05226,13883,81103,30037,55390,71825,4782,3605,5314,9268,2380,4954,4843,8579,6981,3164,158,605,534,75,71,37,83
2025-03-21,04036,71107,92363,65009,22586,01720,39431,58336,83992,46715,1103,2398,8353,3891,3539,5853,6367,8610,5836,4415,522,377,348,84,80,74,44
2025-03-22,67411,76269,09566,70821,29974,44691,53443,48589,71026,30438,9683,2509,1563,5848,5399,4431,0701,0461,2014,0170,106,938,486,06,51,15,09
2025-03-23,98613,05469,56322,53829,13992,10472,01161,58978,53099,93353,2799,8482,4224,4547,1274,0232,9548,1811,3153,4237,268,170,390,31,08,54,01
2025-03-24,91988,95219,44873,37375,94217,11534,73933,67129,03110,85210,3144,7961,3132,6643,7670,1491,9005,7119,2761,1503,511,882,662,44,68,85,54
2025-03-25,69409,35561,82144,76927,85403,35835,94779,52172,09915,95439,6305,0571,7116,6524,5151,9127,6209,7435,5106,8766,290,993,716,68,69,02,89
2025-03-26,23518,83150,50718,86217,17768,52124,47959,70884,83919,99487,8865,5642,4531,1031,0145,4793,2803,4602,0175,9609,997,225,507,76,90,22,52
2025-03-27,50960,53125,45388,51962,60799,87933,02993,71487,56155,08416,0921,2517,6916,8280,3687,3338,0652,2092,1231,6085,774,454,485,45,31,61,06
2025-03-28,53412,65866,60556,15741,79469,13847,68419,95252,39357,91069,3634,4854,1153,3974,8743,4994,5712,9782,0822,4028,921,844,756,92,14,88,19
2025-03-29,09761,53965,39937,64731,11267,95253,18563,74291,44688,16813,3280,7200,1742,7543,4363,2283,6676,8771,8225,6371,098,704,712,09,10,76,56
2025-03-30,80716,32409,15908,06416,75283,30643,80758,44780,90000,59349,7122,0566,8891,2659,4325,2582,7009,5643,4215,1479,381,872,548,25,58,85,66
2025-03-31,97315,81167,47695,84725,05263,60101,20498,75273,12491,82219,4966,4484,0217,4239,8857,2298,2243,3618,2447,9836,451,827,547,06,96,43,67
2025-04-01,13371,03039,09983,61824,34313,26081,14153,94015,53335,70889,2662,5431,1297,0572,1806,8998,9678,0688,8849,3281,552,429,121,25,90,33,65
2025-04-02,12033,81875,97200,45677,47558,68525,26993,15892,57485,76246,9001,0595,0564,3128,1680,8116,1206,4850,7437,9615,872,889,543,18,69,92,57
2025-04-03,37696,83636,47676,23805,88953,22977,92031,55734,46998,56240,9699,0790,4119,0564,3290,9880,8707,2621,2124,4308,671,682,307,78,53,60,98
